entry_id,ticket_ref_id,source_field,text_content,sentiment,resolution_time_minutes
1,INC18269,short_description,Cannot Login to Internal Portal,Negative,901
2,INC18269,description,Cannot login to Internal Portal. Getting error E6357. Urgent!,Negative,901
3,INC18269,comments,Checked logs on DB-INSTITUTION-51. Found error E5987.,Neutral,901
4,INC18269,comments,Reset password for Jessica Hill and provided temporary one.,Neutral,901
5,INC18269,comments,Any update on this request?,Neutral,901
6,INC18269,resolution_notes,Finally working again after restart. Thanks!,Positive,901
7,INC18270,short_description,Login Problem Salesforce,Neutral,1099
8,INC18270,description,System crash on DB-LESS-59. Lost work. Please investigate immediately.,Negative,1099
9,INC18270,resolution_notes,User Haley Luna confirmed resolution.,Positive,1099
10,INC18271,short_description,Network Slow in New Jamesstad,Negative,420
11,INC18271,description,Error W3544 when trying to access the shared drive.,Negative,420
12,INC18271,resolution_notes,Thanks! HR System is working perfectly now.,Positive,420
13,INC18272,short_description,Urgent: Outlook Access Issue,Negative,1400
14,INC18272,description,HR System is extremely slow today. Taking minutes to load.,Negative,1400
15,INC18272,resolution_notes,"Excellent support, problem fixed.",Positive,1400
16,INC18273,short_description,Issue with laptop,Neutral,1105
17,INC18273,description,Network connection keeps dropping in Scottside office.,Negative,1105
18,INC18273,comments,Attempted remote connection to user's machine. Failed.,Neutral,1105
19,INC18273,resolution_notes,The new mouse works great. Setup was smooth.,Positive,1105
20,INC18274,short_description,Network Slow in New Amandaland,Negative,211
21,INC18274,description,This is unacceptable performance for SAP.,Negative,211
22,INC18274,comments,Any update on this request?,Neutral,211
23,INC18274,resolution_notes,Issue resolved quickly. Appreciate the help from Security Ops.,Positive,211
24,INC18275,short_description,Connectivity Error,Neutral,607
25,INC18275,description,My laptop is broken. Need a replacement ASAP.,Negative,607
26,INC18275,comments,Following up as requested.,Neutral,607
27,INC18275,comments,Investigating network latency between Jamesshire and DC.,Neutral,607
28,INC18275,resolution_notes,Closed per user request.,Neutral,607
29,REQ51191,short_description,Request for Outlook Access,Neutral,183
30,REQ51191,description,Password reset required for Gary Ortiz's account.,Neutral,183
31,REQ51191,resolution_notes,Software installed and verified with user.,Neutral,183
32,REQ51192,short_description,Request for VPN Client Access,Neutral,879
33,REQ51192,description,User Dana Baker reporting issue with printer at Javierbury.,Neutral,879
34,REQ51192,resolution_notes,Finally working again after restart. Thanks!,Positive,879
35,REQ51193,short_description,Request for Finance Tool Access,Neutral,965
36,REQ51193,description,Hardware refresh needed for Robert Walker. See attached list.,Neutral,965
37,REQ51193,resolution_notes,Finally working again after restart. Thanks!,Positive,965
38,INC18276,short_description,Cannot Login to Outlook,Negative,1047
39,INC18276,description,My desk phone is broken. Need a replacement ASAP.,Negative,1047
40,INC18276,comments,Just checking in on the status.,Neutral,1047
41,INC18276,comments,Is there any further information needed from my side?,Neutral,1047
42,INC18276,comments,Is anyone working on this??,Negative,1047
43,INC18276,resolution_notes,User Amanda Zuniga confirmed resolution.,Positive,1047
44,INC18277,short_description,Cannot Login to HR System,Negative,877
45,INC18277,description,Still waiting for an update on my issue from yesterday.,Negative,877
46,INC18277,comments,Gathering more information from user Jeffrey Barrera.,Neutral,877
47,INC18277,comments,Investigating network latency between Knightburgh and DC.,Neutral,877
48,INC18277,comments,Is there any further information needed from my side?,Neutral,877
49,INC18277,resolution_notes,User John Smith confirmed resolution.,Positive,877
50,INC18278,short_description,Login Problem Internal Portal,Neutral,217
51,INC18278,description,Frustrated with the constant issues with the laptop.,Negative,217
52,INC18278,comments,Assigned ticket to Network Team.,Neutral,217
53,INC18278,comments,Is there any further information needed from my side?,Neutral,217
54,INC18278,comments,Following up as requested.,Neutral,217
55,INC18278,resolution_notes,User Justin Romero confirmed issue resolved after clearing cache.,Neutral,217
56,INC18279,short_description,Connectivity Error,Neutral,1265
57,INC18279,description,Network connection keeps dropping in Johnnyberg office.,Negative,1265
58,INC18279,comments,Attempted remote connection to user's machine. Failed.,Neutral,1265
59,INC18279,comments,This is taking too long.,Negative,1265
60,INC18279,comments,Escalating issue to Tier 3 support / App Support Team.,Neutral,1265
